NumeroSegmentos, NombreDelArchivo, Comando, TrSiguienteFiltro, TrActual, TamanioArchivo 
1, '2019_presentacion_protocolo_doctorado_dante (1).pdf', './PL_IDADecode 10616832 '2019_presentacion_protocolo_doctorado_dante (1).pdf'', 77, 78, 1188214, 
1, '20192.pdf', './PL_IDADecode 0 '20192.pdf'', 57, 61, 1188214, 
1, '20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf', './PL_IDADecode 262144 '20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf'', 50, 53, 1137487, 
1, '2019_tesis_maestria_dante_sanchez_SC.pdf', './PL_IDADecode 524288 '2019_tesis_maestria_dante_sanchez_SC.pdf'', 44, 46, 1033127, 
1, 'cuestionario EGRESADO.doc', './PL_IDADecode 786432 'cuestionario EGRESADO.doc'', 6, 7, 44544, 
1, 'Curso_Definiciones.pdf', './PL_IDADecode 1048576 'Curso_Definiciones.pdf'', 10, 11, 101729, 
1, 'code.deb', './PL_IDADecode 1310720 'code.deb'', 2069, 2127, 54341964, 
1, 'img.jpg', './PL_IDADecode 1572864 'img.jpg'', 11, 12, 27321, 
1, 'tesis2.pdf', './PL_IDADecode 1835008 'tesis2.pdf'', 185, 191, 3877868, 
1, 'DNAt-FGCS.pdf', './PL_IDADecode 2097152 'DNAt-FGCS.pdf'', 26, 27, 546555, 
1, '2019_presentacion_final_seminario.pdf', './PL_IDADecode 2359296 '2019_presentacion_final_seminario.pdf'', 109, 113, 2673639, 
1, 'agnosticidad.eps', './PL_IDADecode 2621440 'agnosticidad.eps'', 24, 25, 526631, 
1, '', './PL_IDADecode 2883584 ''', 5, 5, 4202177, 
1, 'Administracion_Dockerfiles.pdf', './PL_IDADecode 3014656 'Administracion_Dockerfiles.pdf'', 14, 15, 140554, 
1, '20190618_Introduccion_contenedores_virtuales.pdf', './PL_IDADecode 3276800 '20190618_Introduccion_contenedores_virtuales.pdf'', 78, 82, 1668885, 
1, 'AlgoritmodePaxos_10_58_54_V2.odp', './PL_IDADecode 3538944 'AlgoritmodePaxos_10_58_54_V2.odp'', 11, 12, 117980, 
1, '2019_tesis_maestria_dante_sanchez _(1).pdf', './PL_IDADecode 3801088 '2019_tesis_maestria_dante_sanchez _(1).pdf'', 7, 7, 4202177, 
1, '2019_presentacion_protocolo_doctorado_dante.pdf', './PL_IDADecode 3932160 '2019_presentacion_protocolo_doctorado_dante.pdf'', 51, 53, 1187588, 
1, '2019_ProtocoloDoctoral_Dante_Sanchez.zip', './PL_IDADecode 4194304 '2019_ProtocoloDoctoral_Dante_Sanchez.zip'', 96, 103, 2291079, 
1, 'seminario2.pdf', './PL_IDADecode 4456448 'seminario2.pdf'', 115, 119, 2673730, 
1, 'cinvestav2.jpg', './PL_IDADecode 4718592 'cinvestav2.jpg'', 11, 12, 98267, 
1, 'protocolo.pdf', './PL_IDADecode 4980736 'protocolo.pdf'', 57, 61, 1367417, 
